date,sku,region,units_sold,weather,event,buzz_score
2023-01-01,SKU_A,North,62,sunny,concert,75
2023-01-01,SKU_B,North,45,sunny,concert,6
2023-01-01,SKU_C,North,93,cold,concert,13
2023-01-01,SKU_A,South,84,hot,sports,92
2023-01-01,SKU_B,South,61,cold,none,69
2023-01-01,SKU_C,South,47,rainy,concert,72
2023-01-01,SKU_A,East,43,cold,sports,54
2023-01-01,SKU_B,East,53,rainy,none,54
2023-01-01,SKU_C,East,39,rainy,none,70
2023-01-01,SKU_A,West,88,rainy,sports,49
2023-01-01,SKU_B,West,86,hot,sports,29
2023-01-01,SKU_C,West,62,rainy,none,30
2023-01-02,SKU_A,North,37,hot,none,53
2023-01-02,SKU_B,North,98,cold,concert,76
2023-01-02,SKU_C,North,54,rainy,sports,28
2023-01-02,SKU_A,South,43,hot,none,30
2023-01-02,SKU_B,South,71,hot,concert,98
2023-01-02,SKU_C,South,49,rainy,sports,94
2023-01-02,SKU_A,East,62,hot,none,15
2023-01-02,SKU_B,East,114,cold,concert,41
2023-01-02,SKU_C,East,82,sunny,concert,23
2023-01-02,SKU_A,West,34,cold,none,72
2023-01-02,SKU_B,West,21,sunny,none,52
2023-01-02,SKU_C,West,50,cold,none,60
2023-01-03,SKU_A,North,58,cold,none,91
2023-01-03,SKU_B,North,98,rainy,concert,83
2023-01-03,SKU_C,North,54,hot,sports,5
2023-01-03,SKU_A,South,82,rainy,concert,43
2023-01-03,SKU_B,South,83,cold,concert,61
2023-01-03,SKU_C,South,82,cold,concert,48
2023-01-03,SKU_A,East,73,hot,sports,68
2023-01-03,SKU_B,East,66,sunny,none,12
2023-01-03,SKU_C,East,48,hot,concert,18
2023-01-03,SKU_A,West,27,rainy,none,21
2023-01-03,SKU_B,West,91,cold,none,4
2023-01-03,SKU_C,West,62,hot,sports,58
2023-01-04,SKU_A,North,79,cold,sports,11
2023-01-04,SKU_B,North,67,hot,sports,23
2023-01-04,SKU_C,North,26,cold,none,38
2023-01-04,SKU_A,South,26,rainy,none,21
2023-01-04,SKU_B,South,58,sunny,concert,43
2023-01-04,SKU_C,South,31,sunny,none,6
2023-01-04,SKU_A,East,80,cold,sports,53
2023-01-04,SKU_B,East,38,hot,concert,15
2023-01-04,SKU_C,East,56,rainy,sports,41
2023-01-04,SKU_A,West,92,cold,concert,45
2023-01-04,SKU_B,West,84,rainy,concert,11
2023-01-04,SKU_C,West,69,sunny,sports,39
2023-01-05,SKU_A,North,59,rainy,sports,32
2023-01-05,SKU_B,North,60,sunny,sports,80
2023-01-05,SKU_C,North,40,sunny,concert,39
2023-01-05,SKU_A,South,56,rainy,sports,49
2023-01-05,SKU_B,South,83,rainy,concert,29
2023-01-05,SKU_C,South,100,hot,concert,64
2023-01-05,SKU_A,East,63,sunny,concert,81
2023-01-05,SKU_B,East,101,hot,sports,82
2023-01-05,SKU_C,East,51,sunny,none,64
2023-01-05,SKU_A,West,96,cold,concert,90
2023-01-05,SKU_B,West,81,rainy,none,92
2023-01-05,SKU_C,West,68,sunny,sports,57
2023-01-06,SKU_A,North,80,hot,sports,35
2023-01-06,SKU_B,North,74,hot,sports,25
2023-01-06,SKU_C,North,80,rainy,concert,1
2023-01-06,SKU_A,South,47,rainy,none,42
2023-01-06,SKU_B,South,57,rainy,sports,95
2023-01-06,SKU_C,South,31,hot,none,71
2023-01-06,SKU_A,East,79,hot,none,1
2023-01-06,SKU_B,East,121,cold,sports,65
2023-01-06,SKU_C,East,100,hot,concert,70
2023-01-06,SKU_A,West,32,sunny,none,3
2023-01-06,SKU_B,West,49,hot,sports,20
2023-01-06,SKU_C,West,85,hot,sports,4
2023-01-07,SKU_A,North,57,cold,sports,8
2023-01-07,SKU_B,North,99,sunny,sports,97
2023-01-07,SKU_C,North,63,rainy,concert,70
2023-01-07,SKU_A,South,60,sunny,none,80
2023-01-07,SKU_B,South,81,sunny,concert,74
2023-01-07,SKU_C,South,86,sunny,sports,98
2023-01-07,SKU_A,East,65,hot,concert,77
2023-01-07,SKU_B,East,90,hot,concert,60
2023-01-07,SKU_C,East,90,sunny,concert,21
2023-01-07,SKU_A,West,47,rainy,none,90
2023-01-07,SKU_B,West,58,rainy,concert,39
2023-01-07,SKU_C,West,93,rainy,sports,51
2023-01-08,SKU_A,North,39,hot,sports,38
2023-01-08,SKU_B,North,47,hot,concert,90
2023-01-08,SKU_C,North,59,hot,concert,57
2023-01-08,SKU_A,South,49,sunny,none,0
2023-01-08,SKU_B,South,81,cold,none,80
2023-01-08,SKU_C,South,52,rainy,sports,91
2023-01-08,SKU_A,East,47,cold,none,91
